Rk,Player,Pos,Week,Team,Opp,Opp Rank,Opp Pos Rank,Salary,Projection
43,Zay Jones,WR,1,BUF,NYJ,21,16,3500,10.4
44,Sterling Shepard,WR,1,NYG,DAL,14,11,4100,10.4
45,Donte Moncrief,WR,1,IND,LAR,15,28,5000,10.4
46,Kendall Wright,WR,1,CHI,ATL,29,19,3200,9.8
47,Mohamed Sanu,WR,1,ATL,CHI,20,27,4200,9.6
48,Marvin Jones,WR,1,DET,ARI,7,22,4100,9.5
49,Robby Anderson,WR,1,NYJ,BUF,17,10,3800,9.4
50,Tyler Lockett,WR,1,SEA,GB,28,32,4400,9.3
51,Corey Coleman,WR,1,CLE,PIT,9,4,4400,9.2
52,Corey Davis,WR,1,TEN,OAK,22,14,4000,8.7
53,Tyrell Williams,WR,1,LAC,DEN,1,1,4900,8.3
54,Marquise Goodwin,WR,1,SF,CAR,25,21,3200,8.3
55,Tavon Austin,WR,1,LAR,IND,26,12,3800,8.1
56,Torrey Smith,WR,1,PHI,WAS,23,13,3700,8
57,Paul Richardson,WR,1,SEA,GB,28,32,3700,7.9
58,Marqise Lee,WR,1,JAX,HOU,3,5,3800,7.6
59,Taylor Gabriel,WR,1,ATL,CHI,20,27,4000,7.5
60,Brandon Coleman,WR,1,NO,MIN,5,3,3300,7.5
61,Kenny Golladay,WR,1,DET,ARI,7,22,3600,7.4
62,Devin Funchess,WR,1,CAR,SF,32,26,4300,7.3
63,Terrance Williams,WR,1,DAL,NYG,6,7,3800,7.3
64,Breshad Perriman,WR,1,BAL,CIN,12,2,3500,7.1
65,Danny Amendola,WR,1,NE,KC,11,15,4300,7.1
66,Allen Hurns,WR,1,JAX,HOU,3,5,3500,7
67,Chris Conley,WR,1,KC,NE,2,9,3300,7
68,Brandon LaFell,WR,1,CIN,BAL,8,20,3700,6.7
69,Curtis Samuel,WR,1,CAR,SF,32,26,3600,6.6
70,Robert Woods,WR,1,LAR,IND,26,12,4000,6.6
71,Jermaine Kearse,WR,1,NYJ,BUF,17,10,3400,6.5
72,Cooper Kupp,WR,1,LAR,IND,26,12,3700,6.4
73,Josh Doctson,WR,1,WAS,PHI,10,30,3500,6.4
74,JJ Nelson,WR,1,ARI,DET,24,24,3700,6.3
75,Laquon Treadwell,WR,1,MIN,NO,30,23,3500,6.3
76,Tyler Boyd,WR,1,CIN,BAL,8,20,3600,6.2
77,Seth Roberts,WR,1,OAK,TEN,19,31,3300,6.2
78,Nelson Agholor,WR,1,PHI,WAS,23,13,3800,6
79,Travis Benjamin,WR,1,LAC,DEN,1,1,3400,5.7
80,Albert Wilson,WR,1,KC,NE,2,9,3200,5.7
81,Andre Holmes,WR,1,BUF,NYJ,21,16,3000,5.4
82,Ardarius Stewart,WR,1,NYJ,BUF,17,10,3700,5.2
83,Bruce Ellington,WR,1,HOU,JAX,13,6,3000,5.2
84,Kamar Aiken,WR,1,IND,LAR,15,28,3500,5.2
85,Eli Rogers,WR,1,PIT,CLE,31,25,3900,5.1
86,Braxton Miller,WR,1,HOU,JAX,13,6,3900,5
