Rk,ID,Player,Pos,Week,Team,Opp,Opp Rank,Opp Pos Rank,Salary,Projection
66,18926,Zay Jones,WR,7,BUF,TB,30,32,3600,7.6
67,18928,Curtis Samuel,WR,7,CAR,CHI,13,12,3700,7.3
68,16308,Albert Wilson,WR,7,KC,OAK,18,7,3700,7.1
69,8532,Kenny Britt,WR,7,CLE,TEN,25,23,4000,7.1
70,19064,Trent Taylor,WR,7,SF,DAL,27,25,3200,6.9
71,15509,Jaron Brown,WR,7,ARI,LAR,20,7,4400,6.9
72,17153,Jordan Taylor,WR,7,DEN,LAC,18,24,3000,6.5
73,12830,Torrey Smith,WR,7,PHI,WAS,12,4,3600,6.3
74,19431,Tanner Gentry,WR,7,CHI,CAR,10,20,3000,6.2
75,18047,Demarcus Robinson,WR,7,KC,OAK,18,7,3000,6.2
76,18285,Roger Lewis,WR,7,NYG,SEA,5,9,3800,6
77,16919,JJ Nelson,WR,7,ARI,LAR,20,7,4000,5.7
78,17914,Laquon Treadwell,WR,7,MIN,BAL,9,3,3300,5.7
79,18089,Rashard Higgins,WR,7,CLE,TEN,25,23,3200,5.5
80,15066,Brice Butler,WR,7,DAL,SF,28,22,3700,5.5
81,16411,Ryan Grant,WR,7,WAS,PHI,17,27,3500,5.5
82,16326,Seth Roberts,WR,7,OAK,KC,23,31,3600,5.5
83,18014,Leonte Carroo,WR,7,MIA,NYJ,19,15,3000,5.5
84,12722,Kamar Aiken,WR,7,IND,JAX,2,2,3000,4.8
85,18971,Taywan Taylor,WR,7,TEN,CLE,21,17,3300,4.7
